,Lot Area,Overall Qual,Year Remod/Add,Exter Qual,Bsmt Qual,Total Bsmt SF,Heating QC,1st Flr SF,2nd Flr SF,Bsmt Full Bath + Full Bath,Kitchen Qual,Functional,Garage Area,Garage Qual,Pool Area,SalePrice,Neighborhood_Blmngtn,Neighborhood_Blueste,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_Greens,Neighborhood_GrnHill,Neighborhood_IDOTRR,Neighborhood_Landmrk,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_NAmes,Neighborhood_NPkVill,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Neighborhood_Veenker,Bldg Type_1Fam,Bldg Type_2fmCon,Bldg Type_Duplex,Bldg Type_Twnhs,Bldg Type_TwnhsE,Utilities_AllPub,Utilities_NoSeWa,Utilities_NoSewr,MS Zoning_A (agr),MS Zoning_C (all),MS Zoning_FV,MS Zoning_I (all),MS Zoning_RH,MS Zoning_RL,MS Zoning_RM
10,6000,5,1950,3,3.0,789.0,5,789,0,1.0,3,8,250.0,3.0,0,115000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True
11,10440,5,2002,3,3.0,650.0,4,958,581,2.0,4,8,686.0,4.0,0,157500,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True
12,7200,6,1950,3,3.0,663.0,5,774,821,2.0,3,8,528.0,3.0,0,155500,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
13,6305,6,1975,3,3.0,1008.0,3,1096,0,2.0,3,8,352.0,3.0,0,125200,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
14,10750,8,1995,4,4.0,2024.0,5,2063,0,3.0,4,8,815.0,3.0,0,315000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
15,8239,5,1962,3,3.0,1008.0,3,1060,185,1.0,3,8,315.0,3.0,0,100000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True
16,13587,5,1958,3,3.0,988.0,3,988,0,2.0,3,8,264.0,3.0,0,119000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False
17,8773,6,1997,3,4.0,916.0,4,916,684,2.0,3,8,460.0,3.0,0,169000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
18,11200,5,1964,3,3.0,1250.0,5,1298,0,2.0,3,8,504.0,3.0,0,114000,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
19,13159,7,2009,3,5.0,846.0,4,846,846,2.0,4,8,650.0,3.0,0,224500,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
20,5000,5,1950,3,3.0,540.0,4,889,551,1.0,3,8,352.0,2.0,0,79000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True
21,14364,7,1989,4,4.0,1157.0,5,1180,882,3.0,3,8,454.0,3.0,0,277000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
22,11762,8,1993,4,5.0,1105.0,5,1105,1097,3.0,4,8,517.0,3.0,0,263000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
23,10625,7,2005,4,4.0,1026.0,5,1026,932,2.0,4,8,936.0,3.0,0,250000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False
24,9135,7,2003,4,4.0,1536.0,5,1536,0,3.0,4,8,532.0,3.0,0,214000,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
25,70761,7,1975,3,4.0,1533.0,3,1533,0,3.0,4,8,576.0,3.0,0,280000,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
26,10456,6,1967,3,3.0,1829.0,4,1829,0,3.0,3,8,535.0,3.0,0,218500,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
27,10984,7,2006,4,4.0,945.0,5,945,864,2.0,4,8,638.0,3.0,0,209700,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
28,8450,6,2001,4,4.0,827.0,5,827,850,3.0,4,8,627.0,3.0,0,190500,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
29,17199,4,1961,3,3.0,914.0,5,914,0,1.0,3,8,270.0,2.0,0,128000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
30,16012,4,1968,3,3.0,954.0,5,1482,0,2.0,3,7,609.0,3.0,0,125000,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
31,9000,5,1974,3,4.0,896.0,3,896,896,2.0,3,8,480.0,3.0,0,133000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False
32,8856,5,1957,3,3.0,1176.0,3,1176,0,2.0,3,8,292.0,3.0,0,136500,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
33,9858,5,1968,3,3.0,864.0,3,874,0,2.0,3,8,288.0,3.0,0,130000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
34,19645,7,2007,3,4.0,423.0,5,896,756,3.0,4,8,473.0,3.0,0,203135,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
35,5000,1,1950,2,0.0,0.0,2,334,0,1.0,2,8,0.0,0.0,0,39300,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
36,20000,5,1996,3,3.0,1224.0,5,1224,0,2.0,3,8,576.0,3.0,0,131000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
37,6000,6,2006,3,2.0,720.0,4,760,330,1.0,3,8,240.0,3.0,0,120000,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True
38,11428,8,2006,4,4.0,1626.0,5,1634,0,2.0,4,8,866.0,3.0,0,250000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
39,6012,4,1955,3,0.0,0.0,3,1152,0,2.0,3,8,0.0,0.0,0,82000,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False
40,2665,5,1977,3,4.0,264.0,3,616,688,1.0,3,8,336.0,3.0,0,104500,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True
41,13053,6,2000,3,3.0,833.0,4,1053,795,1.0,4,8,370.0,3.0,0,207000,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
42,9525,6,1953,3,3.0,1000.0,3,1068,541,1.0,3,8,305.0,2.0,0,149900,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
43,8000,6,1974,3,3.0,1084.0,3,1084,793,3.0,3,8,488.0,3.0,0,178900,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
44,6120,5,1950,3,3.0,927.0,3,1067,472,1.0,3,8,576.0,3.0,0,141500,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True
45,8198,7,2004,4,4.0,1358.0,5,1358,0,3.0,4,8,484.0,3.0,0,207000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True
46,12822,7,2003,4,5.0,1434.0,5,1518,631,2.0,4,8,670.0,3.0,0,239686,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
47,5330,8,2000,4,4.0,1494.0,5,1652,0,3.0,5,8,499.0,3.0,0,251000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False
48,23595,7,1979,4,4.0,1332.0,3,1332,192,2.0,4,8,586.0,3.0,0,260000,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
49,11146,8,2006,4,5.0,1709.0,5,1717,0,2.0,4,8,908.0,3.0,0,255500,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
50,36500,5,1964,3,3.0,1624.0,2,1582,0,2.0,3,8,390.0,3.0,0,190000,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
51,8816,5,1963,3,3.0,1121.0,3,1121,0,2.0,3,8,480.0,3.0,0,139000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
52,13568,5,1995,3,4.0,990.0,5,990,0,1.0,3,8,576.0,3.0,0,156000,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
53,6191,5,1950,3,2.0,824.0,3,824,464,1.0,3,8,240.0,3.0,0,112000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
54,15295,7,2002,4,4.0,860.0,5,1212,780,3.0,4,6,608.0,3.0,0,211000,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
55,13500,7,1987,3,3.0,819.0,3,1312,1142,2.0,3,8,576.0,3.0,0,185000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True
56,11645,8,2006,4,5.0,1498.0,5,1498,0,2.0,4,8,844.0,3.0,0,237000,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
57,9600,5,1951,3,3.0,1056.0,5,1216,0,2.0,3,8,280.0,3.0,0,135000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
58,8450,5,1968,3,3.0,890.0,4,890,0,2.0,3,8,308.0,3.0,0,115000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False
59,8012,6,1980,3,3.0,630.0,5,630,636,1.0,3,8,283.0,3.0,0,128000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False
60,9350,5,1964,3,3.0,720.0,4,720,720,1.0,3,8,480.0,3.0,0,157500,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
61,17541,5,2005,3,3.0,409.0,5,1325,0,2.0,4,8,576.0,3.0,0,216000,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
62,2592,5,1976,3,4.0,536.0,3,536,576,1.0,3,8,336.0,3.0,0,85000,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True
63,11080,6,1975,3,3.0,1128.0,3,1210,0,3.0,3,8,528.0,3.0,0,148000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
64,8635,5,2001,3,3.0,672.0,3,1072,213,2.0,3,7,240.0,3.0,0,127000,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True
65,6000,6,1950,3,3.0,862.0,3,950,208,1.0,3,8,208.0,3.0,0,120000,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True
66,9453,7,2003,4,4.0,996.0,5,1014,730,2.0,4,8,457.0,3.0,0,194500,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
67,9723,6,1963,3,3.0,1008.0,3,1008,0,1.0,3,8,430.0,3.0,0,135000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
68,8760,8,2006,4,4.0,1489.0,5,1500,0,2.0,4,8,674.0,3.0,0,212999,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
69,7379,8,2000,4,4.0,975.0,5,975,873,3.0,4,8,592.0,3.0,0,254000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False
70,8520,5,2006,4,3.0,968.0,3,968,0,1.0,3,8,480.0,2.0,0,100000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True
71,10960,6,1984,3,4.0,1284.0,3,1284,0,3.0,3,8,480.0,3.0,0,174000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
72,6120,6,1950,3,2.0,1124.0,3,1068,0,2.0,3,8,288.0,3.0,0,109500,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True
73,8094,6,1950,3,3.0,1048.0,4,1048,720,2.0,3,8,576.0,2.0,0,155000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True
74,8738,7,1999,4,4.0,975.0,5,1005,1286,2.0,4,8,429.0,3.0,0,230000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
75,13070,5,1951,3,3.0,631.0,3,1112,0,1.0,3,8,480.0,3.0,0,126000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
76,12436,5,1957,3,3.0,1824.0,2,1824,0,2.0,3,8,484.0,3.0,0,146000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False
77,7700,5,1986,3,3.0,1216.0,4,1216,1216,4.0,3,8,616.0,3.0,0,159000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False
78,8765,4,1950,3,3.0,951.0,5,951,0,1.0,3,8,327.0,3.0,0,106500,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True
79,7441,7,2006,4,4.0,1461.0,5,1486,0,2.0,4,8,566.0,3.0,0,181000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
80,8098,6,2000,4,4.0,1381.0,5,1403,0,3.0,4,8,470.0,3.0,0,202000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
81,6979,6,1980,3,3.0,1056.0,4,1056,0,2.0,3,8,576.0,3.0,0,144000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False
82,3215,7,2004,4,4.0,600.0,5,600,600,2.0,4,8,480.0,3.0,0,155000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False
83,11040,6,2004,4,3.0,1258.0,5,1258,0,2.0,4,8,528.0,3.0,0,145000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
84,1879,6,1980,3,4.0,516.0,3,516,516,1.0,3,8,462.0,3.0,0,116500,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True
85,9591,8,2005,4,5.0,1143.0,5,1143,1330,2.0,4,8,852.0,3.0,0,317000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
86,8064,6,1994,3,3.0,864.0,3,1064,0,1.0,3,8,576.0,3.0,0,135000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
87,11825,8,2007,4,5.0,1694.0,5,1694,0,2.0,4,8,856.0,3.0,0,322400,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
88,8849,9,2005,5,5.0,1684.0,5,1684,0,2.0,5,8,564.0,3.0,0,266000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False
89,16659,8,2008,4,4.0,1582.0,5,1582,570,2.0,4,8,728.0,3.0,0,260116,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
90,11492,7,1997,4,4.0,913.0,5,913,1209,3.0,4,8,559.0,3.0,0,220000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
91,2364,6,1978,3,4.0,804.0,3,804,744,2.0,3,8,440.0,3.0,0,147000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False
92,10410,5,1987,3,2.0,660.0,5,808,704,2.0,3,6,180.0,2.0,0,135000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
93,6451,7,1970,3,3.0,712.0,4,848,580,2.0,3,8,576.0,3.0,0,139900,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True
